x;f(x);pn(x)
 -1,0000;  0,1988;  0,1988
 -0,8000;  0,3131;  0,3131
 -0,6000;  0,4530;  0,4530
 -0,4000;  0,6174;  0,6174
 -0,2000;  0,8024;  0,8024
 -0,0000;  1,0000;  1,0000
  0,2000;  1,1971;  1,1972
  0,4000;  1,3741;  1,3749
  0,6000;  1,5039;  1,5070
  0,8000;  1,5505;  1,5591
  1,0000;  1,4687;  1,4876
  1,2000;  1,2031;  1,2388
  1,4000;  0,6893;  0,7474
  1,6000; -0,1446; -0,0639
  1,8000; -1,3745; -1,2861
  2,0000; -3,0749; -3,0246
  2,2000; -5,3112; -5,4002
  2,4000; -8,1284; -8,5503
  2,6000;-11,5369;-12,6300
  2,8000;-15,4945;-17,8128
  3,0000;-19,8845;-24,2922
  3,2000;-24,4907;-32,2823
  3,4000;-28,9692;-42,0189
  3,6000;-32,8198;-53,7608
  3,8000;-35,3572;-67,7906
  4,0000;-35,6877;-84,4159
  4,2000;-32,6937;-103,9702
  4,4000;-25,0325;-126,8141
  4,6000;-11,1574;-153,3364
  4,8000; 10,6320;-183,9547
